Recommendation Details for 50 users and their top-20 recommendations using 100 Features and their popular movies only rating profile				
userId	movieId	popularity	avgRating	title
42273	[182527]	[1]	[ 5.]	['Ciutat morta (2014)']
42273	[143422]	[2]	[ 5.]	['2 (2007)']
42273	[159141]	[2]	[ 4.5]	['Plastic Utopia (1997)']
42273	[152711]	[2]	[ 5.]	['Who Killed Chea Vichea? (2010)']
42273	[151989]	[1]	[ 5.]	['The Thorn (1971)']
42273	[159467]	[3]	[ 3.66667]	['Fifi Howls from Happiness (2013)']
42273	[183437]	[31]	[ 3.91935]	"[ ""World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017)""]"
42273	[159471]	[1]	[ 5.]	"[""Evening's Civil Twilight in Empires of Tin (2008)""]"
42273	[159761]	[2]	[ 4.75]	['Loot (1970)']
42273	[159123]	[1]	[ 5.]	['Catching Out (2003)']
42273	[159125]	[1]	[ 5.]	"[""Anybody's Son Will Do""]"
42273	[159129]	[3]	[ 4.5]	['I-Be Area (2007)']
42273	[177209]	[1]	[ 5.]	['Ac\xc4\xb1 A\xc5\x9fk (2009)']
42273	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
42273	[176271]	[2]	[ 4.75]	['Century of Birthing (2011)']
42273	[110108]	[1]	[ 5.]	['Asphalt Playground (La cit\xc3\xa9 rose) (2012)']
42273	[159133]	[3]	[ 2.83333]	['Visions of Frank (2007)']
42273	[138172]	[1]	[ 5.]	['Baseline (2010)']
42273	[159135]	[1]	[ 5.]	['The Viking (1931)']
42577	[182657]	[1]	[ 5.]	['Pale (2016)']
42577	[143422]	[2]	[ 5.]	['2 (2007)']
42577	[182793]	[3]	[ 4.33333]	['The Purple Sea (2009)']
42577	[107434]	[1]	[ 5.]	['Diplomatic Immunity (2009\xe2\x80\x93 )']
42577	[159467]	[3]	[ 3.66667]	['Fifi Howls from Happiness (2013)']
42577	[152711]	[2]	[ 5.]	['Who Killed Chea Vichea? (2010)']
42577	[183437]	[31]	[ 3.91935]	"[ ""World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017)""]"
42577	[176271]	[2]	[ 4.75]	['Century of Birthing (2011)']
42577	[159761]	[2]	[ 4.75]	['Loot (1970)']
42577	[151989]	[1]	[ 5.]	['The Thorn (1971)']
42577	[136086]	[5]	[ 4.4]	['A Difficult Life (1961)']
42577	[178953]	[2]	[ 4.25]	['Our Lady of the Turks (1968)']
42577	[177209]	[1]	[ 5.]	['Ac\xc4\xb1 A\xc5\x9fk (2009)']
42577	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
42577	[110108]	[1]	[ 5.]	['Asphalt Playground (La cit\xc3\xa9 rose) (2012)']
42577	[182781]	[1]	[ 5.]	['Amori che non sanno stare al mondo (2017)']
42577	[138172]	[1]	[ 5.]	['Baseline (2010)']
42577	[182527]	[1]	[ 5.]	['Ciutat morta (2014)']
42779	[6896]	[286]	[ 4.03497]	['Shoah (1985)']
42779	[94466]	[2843]	[ 4.27225]	['Black Mirror (2011)']
42779	[86781]	[1255]	[ 3.9992]	['Incendies (2010)']
42779	[5669]	[14821]	[ 3.71858]	['Bowling for Columbine (2002)']
42779	[53894]	[2807]	[ 3.64001]	['Sicko (2007)']
42779	[151989]	[1]	[ 5.]	['The Thorn (1971)']
42779	[159467]	[3]	[ 3.66667]	['Fifi Howls from Happiness (2013)']
42779	[176271]	[2]	[ 4.75]	['Century of Birthing (2011)']
42779	[2064]	[8094]	[ 3.86323]	['Roger & Me (1989)']
42779	[8622]	[10395]	[ 3.50202]	['Fahrenheit 9/11 (2004)']
42779	[39183]	[8369]	[ 3.60605]	['Brokeback Mountain (2005)']
42779	[93040]	[426]	[ 4.07629]	['Civil War, The (1990)']
42779	[159123]	[1]	[ 5.]	['Catching Out (2003)']
42779	[159125]	[1]	[ 5.]	"[""Anybody's Son Will Do""]"
42779	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
42779	[159471]	[1]	[ 5.]	"[""Evening's Civil Twilight in Empires of Tin (2008)""]"
42779	[2908]	[9548]	[ 3.7831]	"[""Boys Don't Cry (1999)""]"
42779	[159133]	[3]	[ 2.83333]	['Visions of Frank (2007)']
42779	[45950]	[3500]	[ 3.62486]	['Inconvenient Truth, An (2006)']
42779	[159135]	[1]	[ 5.]	['The Viking (1931)']
43130	[8111]	[3]	[ 5.]	['Into the Woods']
43130	[106115]	[3]	[ 4.83333]	['Story of Science, The (2010)']
43130	[183013]	[2]	[ 3.5]	['I Can No Longer Hear the Guitar (1991)']
43130	[152711]	[2]	[ 5.]	['Who Killed Chea Vichea? (2010)']
43130	[151989]	[1]	[ 5.]	['The Thorn (1971)']
43130	[159467]	[3]	[ 3.66667]	['Fifi Howls from Happiness (2013)']
43130	[183437]	[31]	[ 3.91935]	"[ ""World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017)""]"
43130	[136892]	[3]	[ 4.66667]	['Dreams with Sharp Teeth (2008)']
43130	[159471]	[1]	[ 5.]	"[""Evening's Civil Twilight in Empires of Tin (2008)""]"
43130	[159123]	[1]	[ 5.]	['Catching Out (2003)']
43130	[159125]	[1]	[ 5.]	"[""Anybody's Son Will Do""]"
43130	[177209]	[1]	[ 5.]	['Ac\xc4\xb1 A\xc5\x9fk (2009)']
43130	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
43130	[176271]	[2]	[ 4.75]	['Century of Birthing (2011)']
43130	[110108]	[1]	[ 5.]	['Asphalt Playground (La cit\xc3\xa9 rose) (2012)']
43130	[159133]	[3]	[ 2.83333]	['Visions of Frank (2007)']
43130	[143422]	[2]	[ 5.]	['2 (2007)']
43130	[159135]	[1]	[ 5.]	['The Viking (1931)']
43256	[159137]	[2]	[ 2.5]	['Green Legend Ran (1992)']
43256	[182527]	[1]	[ 5.]	['Ciutat morta (2014)']
43256	[159141]	[2]	[ 4.5]	['Plastic Utopia (1997)']
43256	[182657]	[1]	[ 5.]	['Pale (2016)']
43256	[138172]	[1]	[ 5.]	['Baseline (2010)']
43256	[151989]	[1]	[ 5.]	['The Thorn (1971)']
43256	[159467]	[3]	[ 3.66667]	['Fifi Howls from Happiness (2013)']
43256	[183437]	[31]	[ 3.91935]	"[ ""World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017)""]"
43256	[159471]	[1]	[ 5.]	"[""Evening's Civil Twilight in Empires of Tin (2008)""]"
43256	[183013]	[2]	[ 3.5]	['I Can No Longer Hear the Guitar (1991)']
43256	[159123]	[1]	[ 5.]	['Catching Out (2003)']
43256	[159125]	[1]	[ 5.]	"[""Anybody's Son Will Do""]"
43256	[159129]	[3]	[ 4.5]	['I-Be Area (2007)']
43256	[177209]	[1]	[ 5.]	['Ac\xc4\xb1 A\xc5\x9fk (2009)']
43256	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
