



21783	103741,1360,26153,135055,3226,149586,8402,116002,104085,151989,131932,133441,120629,50909,180161,73868,130332,77990,140319,144356,
42265	104085,178949,178951,178955,178959,178957,178947,26153,105144,97817,123091,133837,134427,119615,139966,139982,119844,143791,139978,139952,
42287	104085,105144,178949,178951,178955,178959,178957,178947,97817,133837,123091,26153,131140,139048,32836,134427,119615,139966,139982,119844,
42298	104085,178949,178951,178955,178959,178957,178947,105144,133837,123091,131140,139048,97817,32836,106970,26153,149711,149700,146252,160533,
42969	105144,104085,178949,178951,178955,178959,178957,178947,106970,123091,97817,131140,139048,26153,32836,154917,103741,162808,160533,161936,
43191	105144,178949,178951,178955,178959,178957,178947,104085,97817,123091,26153,106970,32836,103741,129309,134427,119615,139966,139982,119844,
43236	26153,103741,105144,104085,1360,97817,135055,8402,106970,138010,178949,178959,178951,178957,178947,178955,162808,151989,143515,130332,
43277	103741,105144,178949,178951,178955,178959,178957,178947,26153,97817,123091,106970,107477,134427,119615,139966,139982,119844,143791,139978,
43717	26153,103741,105144,104085,1360,97817,178949,178951,178955,178959,178957,178947,135055,123091,173299,151989,143515,32836,129309,8402,
44240	104085,178949,178951,178955,178959,178957,178947,105144,97817,26153,123091,133837,131140,139048,32836,149711,149700,1360,146252,106970,
44365	103741,106970,123091,162808,1360,180045,173299,109576,129309,143515,129845,128169,161936,160533,159259,91862,73868,26153,97817,174625,
44655	7153,4993,5952,1360,26153,104085,73868,160159,130332,50944,98615,3226,138010,135055,50909,131932,149586,8402,77208,180161,
46351	104085,105144,26153,178949,178951,178955,178947,178959,178957,2254,133837,32836,154917,146252,1360,97817,131140,139048,149700,149711,
46439	104085,105144,178949,178951,178955,178959,178957,178947,97817,123091,133837,26153,32836,106970,131140,139048,134427,119615,139966,139982,
46702	105144,103741,154917,104085,123091,26153,106970,178949,178951,178959,178957,178955,178947,32836,97817,1360,143515,129309,92696,160533,
47183	103741,123091,106970,32836,26153,178949,178951,178955,178959,178957,178947,104085,105144,162808,1360,97817,146252,133837,129309,131140,
47664	858,106970,162808,1221,154917,32836,146252,7502,149700,149711,161936,160533,159259,109576,118734,103741,123091,2254,131932,50909,
47775	104085,26153,1360,3226,138010,73868,105144,103741,146252,149586,130332,151989,2254,135055,149711,149700,147839,162808,97817,149570,
48053	104085,105144,178949,178951,178955,178959,178957,178947,133837,123091,131140,139048,32836,97817,154917,2254,106970,149711,149700,146252,
48418	104085,178949,178951,178955,178959,178957,178947,133837,131140,139048,26153,97817,105144,1360,123091,177209,149711,149700,2254,110223,
49754	720,86347,86377,178949,178951,178955,178959,178957,178947,1223,3608,105144,97817,104085,123091,134427,119615,139966,139982,119844,
50312	104085,178949,178951,178955,178959,178957,178947,105144,26153,97817,133837,123091,1360,131140,139048,32836,149711,149700,103741,138010,
50626	104085,105144,178949,178951,178955,178947,178959,178957,26153,32836,3226,131140,139048,149586,133837,147839,78701,149790,1360,138010,
50738	1221,745,1287,7502,1148,1223,103741,527,912,149586,32836,26153,135055,8402,720,953,3226,106970,117142,140319,
51718	7153,4993,5952,104085,26153,1360,105144,8402,149586,138010,130332,173299,3226,73868,103741,160159,180161,50909,135055,149570,
51796	103741,104085,26153,1360,178949,105144,178951,178955,178959,178957,178947,32836,135055,92696,129309,123091,134427,119615,139966,139982,
52146	105144,178949,178951,178955,178959,178957,178947,97817,123091,104085,26153,103741,106970,134427,119615,139966,139982,119844,143791,139978,
52423	103741,123091,106970,105144,26153,178949,178951,178955,178959,178957,178947,97817,1360,32836,129309,104085,162808,143515,134427,119615,
52950	104085,97817,178949,178951,178955,178959,178957,178947,105144,26153,720,1360,123091,134427,119615,139966,139982,119844,143791,139978,
52962	104085,178949,178951,178955,178959,178957,178947,97817,26153,105144,1360,123091,173299,134427,119615,139966,139982,119844,143791,139978,
52984	105144,178949,178951,178955,178959,178957,178947,97817,123091,104085,107477,134427,119615,139966,139982,119844,143791,139978,139952,118995,
53008	106970,178949,178951,178955,178959,178957,178947,123091,97817,32836,104085,133837,134427,119615,139966,139982,119844,143791,107477,139978,
53488	106970,178949,178951,178955,178959,178957,178947,97817,107477,134427,119615,139966,139982,119844,143791,139978,139952,118995,119874,139974,
53663	104085,178949,178951,178955,178959,178957,178947,97817,105144,123091,173299,26153,131140,139048,133837,134427,119615,139966,139982,119844,
53746	178949,178951,178955,178959,178957,178947,123091,105144,97817,104085,106970,129309,26153,134427,119615,139966,139982,119844,143791,139978,
54947	720,86345,86347,105144,178949,178951,178955,178959,178957,178947,745,104085,97817,1360,26153,103741,123091,129309,92696,134427,
55147	1221,858,923,1228,1982,1260,1256,968,3134,2019,7327,1196,922,1212,260,4993,1248,1200,5952,7153,
55553	105144,104085,178949,178951,178955,178959,178957,178947,26153,97817,123091,32836,103741,131140,139048,1360,106970,154917,129309,134427,
55605	858,103741,106970,105144,154917,123091,1221,26153,162808,32836,1360,143515,161936,129309,160533,159259,92696,97817,149586,135055,
55806	1282,26153,103741,178949,178951,178955,178959,178957,178947,97817,104085,134427,119615,139966,139982,135055,119844,143791,139978,139952,
55926	178949,178951,178955,178959,178957,178947,105144,104085,97817,123091,134427,119615,139966,139982,119844,143791,139978,139952,118995,119874,
57351	104085,26153,105144,1360,178949,178951,178955,178959,178957,178947,97817,103741,135055,130332,151989,138010,129309,143515,134427,119615,
57496	105144,104085,26153,103741,178949,178951,178955,178959,178957,178947,97817,1360,123091,32836,131140,139048,154917,149586,135055,129309,
57590	97817,178949,123091,178951,178955,178959,178957,178947,105144,26153,103741,1360,106970,104085,129309,143515,134427,119615,139966,139982,
58050	105144,104085,178949,178951,178955,178959,178957,178947,97817,92696,131140,139048,154917,107477,134427,119615,139966,139982,119844,143791,
58285	104085,105144,26153,178949,178951,178955,178959,178957,178947,1360,3226,133837,97817,103741,138010,135055,32836,2254,149586,149790,
58464	2804,953,4361,912,954,1207,1230,1203,1104,1247,919,3095,34,6669,1235,920,1204,106970,3114,78499,
58631	105144,178949,104085,178951,178955,178959,178957,178947,123091,97817,106970,133837,131140,139048,32836,26153,129309,160533,161936,159259,
59776	104085,105144,3226,26153,103741,149586,32836,131932,146252,173939,88886,149570,26480,90460,2254,1360,147839,89620,31333,118576,
60453	2427,2712,103741,6669,123091,106970,1221,178949,178951,178959,178957,178955,178947,26153,97817,105144,56782,129309,32836,1360,
68300	173299,97817,26153,178949,178951,178955,178959,178957,178947,123091,103741,1360,104085,129309,143515,134427,119615,139966,139982,119844,
70187	1721,2706,104085,105144,133837,2254,178949,178951,178955,178947,178959,178957,138010,146252,131140,139048,147839,32836,149700,149711,
70200	104085,2254,133837,149700,149711,105144,138010,147839,131140,139048,146252,3226,178955,178951,178947,178949,178959,178957,149790,26153,
70694	296,2920,858,1206,94466,103741,1221,106970,1360,6669,26153,6874,173299,162808,670,135055,123091,91862,8402,174625,
70786	105144,104085,178949,178951,178955,178959,178957,178947,97817,123091,131140,139048,133837,32836,26153,134427,119615,139966,139982,119844,
70970	105144,106970,178949,178951,178955,178959,178957,178947,131140,139048,32836,104085,97817,123091,134427,139966,139982,119615,119844,143791,
71170	105144,178949,178951,178955,178959,178957,178947,104085,123091,97817,154917,131140,139048,106970,134427,119615,139966,139982,119844,143791,
71201	105144,104085,178949,178951,178955,178959,178957,178947,97817,26153,123091,1360,131140,139048,154917,32836,134427,119615,139966,139982,
71231	178949,178951,178955,178959,178957,178947,123091,104085,133837,106970,105144,97817,32836,131140,139048,86002,26153,129309,103741,134427,
71681	7153,5952,4993,26153,104085,8402,3226,1360,131932,50944,149586,149570,103741,135055,98615,105144,138010,182875,110897,88886,
72073	104085,178949,178951,178955,178959,178957,178947,97817,26153,133837,138010,134427,119615,139966,139982,119844,143791,139978,118995,139952,
72322	2254,149711,149700,104085,146252,147839,3226,154917,133837,109576,73868,162808,1360,138010,40738,149790,160159,145100,26153,159259,
72524	105144,178949,178951,178955,178959,178957,178947,106970,123091,97817,32836,104085,26153,129309,131140,139048,107477,134427,119615,139966,
