userId,Movies,overlapCount,avgMovieRatings,avgPopularity
42273,"110108,159467,159133,159471,159123,159125,159135,138172,151989,177209,182781,182793,182657,182527,54124,137006,137064,137020,136996,137032",0,4.45,1.3
42577,"110108,182781,182793,182657,182527,34763,138172,151989,107434,137006,137064,137020,136996,137032,137038,136998,137016,137048,136992,26747",0,4.45,1.1
42779,"159133,159123,159125,159135,159471,159467,110108,138172,151989,54124,183013,137006,137064,137020,136996,137038,137032,136998,137016,137048",0,4.4,1.25
43130,"159471,159123,159125,159133,159135,177209,151989,159467,183013,138172,137006,137064,137020,136996,137038,137032,136998,137016,137048,136992",0,4.65,1.25
43256,"159133,159125,159123,159135,159471,159467,110108,138172,177209,183013,151989,182793,182781,182527,182657,135055,54124,177921,178057,179065",0,4.3,1.3
43450,"924,159133,159125,159135,159123,159471,159467,670,2427,122701,142903,140014,159048,109762,180839,137964,116243,171221,124903,159050",0,4.45,2112.15
43606,"159133,159471,159123,159125,159135,159467,138172,183013,151989,137006,137064,137020,136996,137038,137032,136998,137016,137048,136992,26747",0,4.4,1.3
43831,"183013,151989,182793,182781,182657,182527,138172,179019,183913,178881,178417,178057,177921,135310,178415,179065,183057,143833,177903,60267",0,4.45,1.55
43853,"110108,138172,182781,182793,182527,182657,151989,159467,159133,159125,159123,159471,159135,177209,54124,107434,183013,137006,137064,137020",0,4.35,1.3
43966,"260,1196,7153,4993,5952,1210,88125,182527,182793,182781,182657,139630,60221,110108,117656,179627,166223,179535,179723,179559",0,4.25,20669.7
44038,"110108,177209,151989,182793,182781,182657,182527,137006,137064,137020,136996,137038,137032,136998,137016,137048,136992,26747,137052,137046",0,4.7,1.15
44363,"151989,138172,137006,137064,137020,136996,137038,137032,136998,137016,137048,136992,26747,137052,137046,137078,137024,136988,54072,137022",0,4.5,1.05
44447,"159133,159123,159125,159135,159471,159467,140014,109762,122701,159048,137964,159053,159050,142903,171221,116243,180839,132124,124903,138172",0,4.7,1.25
44454,"159133,159125,159135,159471,159123,159467,138172,183013,151989,110108,177209,107434,47782,155713,177921,179065,178057,178415,179019,177903",0,4.3,1.5
44807,"110108,159467,159133,159123,159125,159135,159471,137006,137064,137020,136996,137038,137032,136998,137016,137048,26747,136992,137052,137046",0,4.5,1.2
45101,"110108,177209,182657,182781,34763,182793,182527,151989,54124,137006,137064,137020,136996,137038,137032,137016,136998,137048,136992,26747",0,4.2,1.05
45259,"159471,159133,159123,159125,159135,159467,151989,138172,183013,110108,177209,137006,137064,137020,136996,137038,137032,136998,137016,137048",0,4.65,1.3
45999,"159471,159135,159123,159125,159133,159467,183013,138172,151989,54124,110108,137006,137064,137020,136996,137038,137032,136998,137016,137048",0,4.4,1.25
46629,"110108,182793,182781,182527,182657,138172,177209,151989,107434,179019,183913,178057,177921,178415,178881,179065,135310,177903,178417,143833",0,4.8,1.1
47230,"110108,182527,182781,182657,182793,151989,177209,34763,137006,137064,137020,136996,137016,137038,137032,137048,136998,136992,26747,137052",0,4.45,1.1
47701,"159471,159135,159125,159123,159133,159467,183013,151989,138172,177209,110108,54124,137006,137064,137020,136996,137038,137032,136998,137016",0,4.4,1.25
47944,"110108,159467,159133,159471,159123,159125,159135,138172,137006,137064,137020,136996,137032,136998,137038,137016,137048,136992,26747,137052",0,4.5,1.25
47993,"110108,159125,159471,159135,159123,159133,159467,138172,177209,182793,182781,182657,182527,151989,183013,177921,178057,179065,137006,179019",0,4.5,1.4
48351,"110108,138172,182781,182793,182657,182527,151989,177209,167666,159133,159125,159123,159135,159471,159467,107434,167368,167496,34763,179019",0,4.4,1.15
48934,"159133,159471,159125,159123,159135,159467,110108,138172,151989,177209,137006,137064,137020,136996,137032,137038,136998,137016,137048,136992",0,4.75,1.25
49212,"110108,182527,182657,182781,182793,177209,151989,34763,138172,137006,137064,137020,136996,137032,137038,136998,137016,137048,136992,26747",0,4.45,1.1
49796,"60221,164861,166223,164907,165733,179589,179535,164765,143235,166219,179531,166229,179559,164787,179723,179567,137601,179581,179627,179587",0,4.55,1.3
50330,"138172,151989,183013,177209,137006,137064,137020,136996,137038,137032,136998,137016,137048,136992,26747,137052,137046,137078,137024,136988",0,4.65,1.25
51444,"110108,138172,151989,159467,159471,159133,159125,159123,159135,177209,182781,182793,182657,182527,34763,137006,137064,137020,136996,137038",0,4.45,1.3
51875,"159471,159133,159125,159123,159135,159467,183013,122701,159048,109762,140014,142903,116243,124903,180839,171221,159053,137964,159050,132124",0,4.6,1.3
